shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status
SHP-2019-00033,1,2019-09-17T06:00:00,2019-09-17T20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,agricultural_product,41,pallet,ambient,ordinary,scheduled stock transfer,delivered
SHP-2019-00034,1,2019-09-18T09:00:00,2019-09-18T17:00:00,BP-30024,BP-30041,FCL-1016,FCL-1008,BP-30055,cold_storage_equipment,17,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2019-00035,1,2019-09-20T14:00:00,2019-09-23T15:00:00,BP-30060,BP-30077,FCL-1009,FCL-1007,BP-30060,monitoring_equipment,7,kit,ambient,ordinary,agricultural distribution,delivered
SHP-2019-00036,1,2019-09-20T18:00:00,,BP-30067,BP-30010,FCL-1023,FCL-1016,BP-30047,laboratory_material,31,pack,ambient,ordinary,scheduled stock transfer,in_transit
SHP-2019-00037,1,2019-09-21T15:00:00,2019-09-23T02:00:00,BP-30072,BP-30074,FCL-1024,FCL-1015,BP-30060,other,23,unit,ambient,ordinary,scheduled stock transfer,delayed
SHP-2019-00038,1,2019-09-25T09:00:00,2019-09-28T02:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,12,case,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2019-00039,1,2019-09-25T14:00:00,2019-09-26T02:00:00,BP-30018,BP-30037,FCL-1003,FCL-1017,BP-30020,monitoring_equipment,20,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2019-00040,1,2019-10-26T10:00:00,2019-10-29T23:00:00,BP-30047,BP-30044,FCL-1016,FCL-1029,BP-30042,medical_consumables,50,case,2-8C,expedited,customer distribution,delivered
SHP-2019-00041,1,2019-11-08T09:00:00,2019-11-10T14:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,7,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2019-00042,1,2019-11-14T09:00:00,2019-11-15T10:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,80,case,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2019-00043,1,2019-11-15T11:00:00,2019-11-18T17:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30055,laboratory_material,58,pack,ambient,ordinary,laboratory delivery,delivered
SHP-2019-00044,1,2019-11-22T12:00:00,2019-11-22T21:00:00,BP-30019,BP-30027,FCL-1010,FCL-1021,BP-30047,biological_sample,18,sealed_lot,2-8C,ordinary,facility replenishment,delivered
SHP-2019-00045,1,2019-12-19T06:00:00,2019-12-21T15:00:00,BP-30024,BP-30030,FCL-1016,FCL-1018,BP-30055,communication_service,1,service,ambient,ordinary,field programme support,delayed
SHP-2020-00001,1,2020-01-02T18:00:00,2020-01-03T05:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30015,agricultural_product,4,pallet,ambient,ordinary,laboratory delivery,delivered
SHP-2020-00002,1,2020-01-09T15:00:00,2020-01-11T09:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,cold_storage_equipment,6,unit,ambient,expedited,customer distribution,delivered
SHP-2020-00003,1,2020-01-24T16:00:00,2020-01-27T02:00:00,BP-30016,BP-30036,FCL-1030,FCL-1030,BP-30015,office_supply,40,case,ambient,ordinary,customer distribution,delivered
SHP-2020-00004,1,2020-01-30T09:00:00,2020-02-02T16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,9,sealed_lot,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2020-00005,1,2020-02-18T17:00:00,,BP-30019,BP-30016,FCL-1010,FCL-1030,BP-30025,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,in_transit
SHP-2020-00006,1,2020-02-21T07:00:00,2020-02-22T18:00:00,BP-30040,BP-30042,FCL-1015,FCL-1015,BP-30025,cold_storage_equipment,24,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2020-00007,1,2020-02-26T09:00:00,2020-02-26T20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,10,case,2-8C,expedited,temperature-controlled clinical programme delivery,delivered
SHP-2020-00008,1,2020-03-21T05:00:00,2020-03-24T20:00:00,BP-30010,BP-30075,FCL-1016,FCL-1027,BP-30015,medical_consumables,66,case,2-8C,emergency,field programme support,delivered
SHP-2020-00009,1,2020-04-03T07:00:00,2020-04-03T22:00:00,BP-30031,BP-30033,FCL-1023,FCL-1013,BP-30031,cold_storage_equipment,18,unit,ambient,ordinary,customer distribution,delivered
SHP-2020-00010,1,2020-04-03T18:00:00,2020-04-05T12:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30078,consulting_service,1,service,ambient,ordinary,customer distribution,returned
SHP-2020-00011,1,2020-04-04T09:00:00,2020-04-05T11:00:00,BP-30054,BP-30041,FCL-1007,FCL-1008,BP-30025,agricultural_product,22,pallet,ambient,ordinary,laboratory delivery,delivered
SHP-2020-00012,1,2020-04-04T10:00:00,2020-04-05T07:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30042,biological_sample,7,sealed_lot,2-8C,ordinary,field programme support,delivered
SHP-2020-00013,1,2020-04-04T15:00:00,2020-04-05T01:00:00,BP-30044,BP-30015,FCL-1029,FCL-1006,BP-30055,other,2,unit,ambient,restricted,facility replenishment,delivered
SHP-2020-00014,1,2020-04-05T14:00:00,2020-04-05T23:00:00,BP-30052,BP-30008,FCL-1011,FCL-1007,BP-30055,legal_service,1,service,ambient,expedited,facility replenishment,delivered
SHP-2020-00015,1,2020-04-06T11:00:00,2020-04-09T19:00:00,BP-30068,BP-30065,FCL-1020,FCL-1014,BP-30078,biological_sample,1,sealed_lot,2-8C,ordinary,agricultural distribution,delivered
SHP-2020-00016,1,2020-04-08T08:00:00,2020-04-10T08:00:00,BP-30057,BP-30069,FCL-1016,FCL-1008,BP-30078,monitoring_equipment,22,kit,ambient,ordinary,field programme support,delivered
SHP-2020-00017,1,2020-04-08T10:00:00,2020-04-08T17:00:00,BP-30041,BP-30070,FCL-1008,FCL-1019,BP-30055,office_supply,79,case,ambient,ordinary,customer distribution,delivered
SHP-2020-00018,1,2020-04-08T10:00:00,2020-04-09T15:00:00,BP-30063,BP-30041,FCL-1025,FCL-1008,BP-30031,research_contract,1,contract,ambient,ordinary,field programme support,delivered
SHP-2020-00019,1,2020-04-10T09:00:00,2020-04-12T01:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,2,sealed_lot,2-8C,ordinary,environmental and wildlife reference materials,delivered
SHP-2020-00020,1,2020-04-10T17:00:00,2020-04-11T00:00:00,BP-30068,BP-30006,FCL-1020,FCL-1019,BP-30047,protective_equipment,34,case,ambient,ordinary,laboratory delivery,delivered
SHP-2020-00021,1,2020-04-13T08:00:00,2020-04-16T17:00:00,BP-30001,BP-30045,FCL-1025,FCL-1016,BP-30042,legal_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2020-00022,1,2020-04-14T05:00:00,2020-04-17T20:00:00,BP-30040,BP-30076,FCL-1015,FCL-1020,BP-30025,agricultural_equipment,15,unit,ambient,expedited,customer distribution,delivered
SHP-2020-00023,1,2020-04-14T09:00:00,2020-04-17T22:00:00,BP-30045,BP-30037,FCL-1016,FCL-1017,BP-30055,agricultural_equipment,15,unit,ambient,restricted,agricultural distribution,delivered
SHP-2020-00024,1,2020-04-15T18:00:00,2020-04-19T02:00:00,BP-30036,BP-30041,FCL-1030,FCL-1008,BP-30042,protective_equipment,10,case,ambient,ordinary,laboratory delivery,delivered
SHP-2020-00025,1,2020-04-16T10:00:00,2020-04-18T15:00:00,BP-30010,BP-30067,FCL-1016,FCL-1023,BP-30078,other,12,unit,ambient,ordinary,field programme support,delivered
SHP-2020-00026,1,2020-04-17T07:00:00,2020-04-19T07:00:00,BP-30023,BP-30039,FCL-1002,FCL-1029,BP-30055,cold_storage_equipment,5,unit,ambient,expedited,agricultural distribution,delivered
SHP-2020-00027,1,2020-04-17T11:00:00,2020-04-19T00:00:00,BP-30035,BP-30032,FCL-1009,FCL-1019,BP-30078,monitoring_equipment,21,kit,ambient,ordinary,customer distribution,delivered
SHP-2020-00028,1,2020-04-18T08:00:00,2020-04-21T20:00:00,BP-30076,BP-30062,FCL-1020,FCL-1012,BP-30060,refrigeration_service,1,service,ambient,ordinary,customer distribution,delivered
SHP-2020-00029,1,2020-04-18T13:00:00,2020-04-20T03:00:00,BP-30071,BP-30046,FCL-1011,FCL-1010,BP-30060,agricultural_equipment,13,unit,ambient,ordinary,customer distribution,delivered
SHP-2020-00030,1,2020-04-20T07:00:00,2020-04-22T03:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,agricultural_product,25,pallet,ambient,expedited,agricultural distribution,delayed
SHP-2020-00031,1,2020-04-20T09:00:00,,BP-30006,BP-30010,FCL-1019,FCL-1016,BP-30025,office_supply,48,case,ambient,ordinary,scheduled stock transfer,in_transit
SHP-2020-00032,1,2020-04-20T14:00:00,2020-04-22T09:00:00,BP-30037,BP-30061,FCL-1017,FCL-1030,BP-30042,medical_consumables,2,case,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2020-00033,1,2020-04-22T17:00:00,2020-04-26T15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,monitoring_equipment,30,kit,ambient,restricted,scheduled stock transfer,delivered
SHP-2020-00034,1,2020-04-23T18:00:00,2020-04-26T01:00:00,BP-30031,BP-30009,FCL-1023,FCL-1010,BP-30025,agricultural_product,28,pallet,ambient,expedited,laboratory delivery,delivered
SHP-2020-00035,1,2020-04-28T08:00:00,2020-04-29T11:00:00,BP-30031,BP-30065,FCL-1023,FCL-1014,BP-30025,medical_consumables,68,case,2-8C,restricted,customer distribution,delivered
SHP-2020-00036,1,2020-05-28T08:00:00,2020-05-31T07:00:00,BP-30050,BP-30033,FCL-1028,FCL-1013,BP-30015,medical_consumables,69,case,2-8C,expedited,field programme support,delivered
SHP-2020-00037,1,2020-05-30T15:00:00,,BP-30008,BP-30045,FCL-1007,FCL-1016,BP-30055,laboratory_material,54,pack,ambient,ordinary,facility replenishment,in_transit
SHP-2020-00038,1,2020-06-12T09:00:00,2020-06-14T21:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,5,sealed_lot,2-8C,ordinary,environmental and wildlife reference materials,delivered
SHP-2020-00039,1,2020-06-20T16:00:00,2020-06-24T13:00:00,BP-30054,BP-30046,FCL-1007,FCL-1010,BP-30060,monitoring_equipment,3,kit,ambient,ordinary,scheduled stock transfer,delayed
SHP-2020-00040,1,2020-07-14T12:00:00,2020-07-15T18:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30015,protective_equipment,76,case,ambient,ordinary,facility replenishment,delivered
SHP-2020-00041,1,2020-10-20T05:00:00,2020-10-22T14:00:00,BP-30068,BP-30067,FCL-1020,FCL-1023,BP-30015,biological_sample,12,sealed_lot,2-8C,ordinary,laboratory delivery,delivered
SHP-2020-00042,1,2020-10-20T09:00:00,2020-10-21T14:00:00,BP-30017,BP-30004,FCL-1010,FCL-1029,BP-30042,consulting_service,1,service,ambient,emergency,field programme support,delivered
SHP-2020-00043,1,2020-10-29T07:00:00,2020-10-30T12:00:00,BP-30065,BP-30006,FCL-1014,FCL-1019,BP-30060,biological_sample,7,sealed_lot,2-8C,restricted,facility replenishment,delivered
SHP-2020-00044,1,2020-11-04T16:00:00,2020-11-08T00:00:00,BP-30078,BP-30037,FCL-1011,FCL-1017,BP-30060,grant,1,grant,ambient,ordinary,field programme support,delivered
SHP-2020-00045,1,2020-11-21T08:00:00,2020-11-22T20:00:00,BP-30080,BP-30070,FCL-1020,FCL-1019,BP-30020,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2020-00046,1,2020-12-16T15:00:00,2020-12-18T06:00:00,BP-30055,BP-30078,FCL-1010,FCL-1011,BP-30055,cold_storage_equipment,16,unit,ambient,emergency,agricultural distribution,delivered
SHP-2021-00001,1,2021-01-12T14:00:00,2021-01-15T10:00:00,BP-30061,BP-30075,FCL-1030,FCL-1027,BP-30078,medical_consumables,4,case,2-8C,expedited,field programme support,delivered
SHP-2021-00002,1,2021-02-12T11:00:00,2021-02-13T23:00:00,BP-30012,BP-30017,FCL-1020,FCL-1010,BP-30015,protective_equipment,64,case,ambient,ordinary,scheduled stock transfer,delivered
SHP-2021-00003,1,2021-02-18T09:00:00,2021-02-21T15:00:00,BP-30031,BP-30017,FCL-1023,FCL-1010,BP-30042,agricultural_equipment,12,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2021-00004,1,2021-02-26T10:00:00,2021-02-28T23:00:00,BP-30030,BP-30066,FCL-1018,FCL-1003,BP-30055,monitoring_equipment,20,kit,ambient,ordinary,field programme support,delivered
SHP-2021-00005,1,2021-03-16T15:00:00,2021-03-18T02:00:00,BP-30057,BP-30080,FCL-1016,FCL-1020,BP-30047,protective_equipment,65,case,ambient,ordinary,agricultural distribution,delivered
SHP-2021-00006,1,2021-03-17T09:00:00,2021-03-18T12:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,8,sealed_lot,2-8C,expedited,temperature-controlled clinical programme delivery,delivered
SHP-2021-00007,1,2021-03-26T09:00:00,2021-03-28T17:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,8,sealed_lot,2-8C,expedited,environmental and wildlife reference materials,delivered
SHP-2021-00008,1,2021-05-01T09:00:00,2021-05-02T03:00:00,BP-30046,BP-30023,FCL-1010,FCL-1002,BP-30015,office_supply,46,case,ambient,ordinary,scheduled stock transfer,delivered
SHP-2021-00009,1,2021-05-01T14:00:00,2021-05-02T02:00:00,BP-30070,BP-30045,FCL-1019,FCL-1016,BP-30031,agricultural_product,17,pallet,ambient,ordinary,  customer  distribution ,delivered
SHP-2021-00010,1,2021-05-03T18:00:00,2021-05-06T06:00:00,BP-30061,BP-30043,FCL-1030,FCL-1010,BP-30031,grant,1,grant,ambient,ordinary,customer distribution,delivered
SHP-2021-00011,1,2021-05-04T10:00:00,2021-05-07T17:00:00,BP-30039,BP-30067,FCL-1029,FCL-1023,BP-30031,agricultural_product,8,pallet,ambient,ordinary,scheduled stock transfer,delivered
SHP-2021-00012,1,2021-05-04T17:00:00,2021-05-07T20:00:00,BP-30077,BP-30078,FCL-1007,FCL-1011,BP-30025,office_supply,61,case,ambient,emergency,scheduled stock transfer,delivered
SHP-2021-00013,1,2021-05-07T18:00:00,2021-05-10T01:00:00,BP-30007,BP-30074,FCL-1014,FCL-1015,BP-30078,medical_equipment,22,unit,ambient,ordinary,agricultural distribution,delivered
SHP-2021-00014,1,2021-05-08T18:00:00,2021-05-09T16:00:00,BP-30056,BP-30018,FCL-1019,FCL-1003,BP-30047,cold_storage_equipment,22,unit,ambient,ordinary,agricultural distribution,delivered
SHP-2021-00015,1,2021-05-09T14:00:00,2021-05-10T13:00:00,BP-30017,BP-30075,FCL-1010,FCL-1027,BP-30047,medical_equipment,6,unit,ambient,ordinary,customer distribution,delivered
SHP-2021-00016,1,2021-05-09T18:00:00,2021-05-12T22:00:00,BP-30050,BP-30056,FCL-1028,FCL-1019,BP-30047,medical_consumables,61,case,2-8C,ordinary,agricultural distribution,delivered
SHP-2021-00017,1,2021-05-11T09:00:00,2021-05-15T06:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30060,consulting_service,1,service,ambient,restricted,facility replenishment,delivered
SHP-2021-00018,1,2021-05-12T12:00:00,2021-05-13T11:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30025,agricultural_equipment,19,unit,ambient,ordinary,agricultural distribution,delivered
SHP-2021-00019,1,2021-05-12T13:00:00,2021-05-13T02:00:00,BP-30057,BP-30044,FCL-1016,FCL-1029,BP-30055,refrigeration_service,1,service,ambient,ordinary,laboratory delivery,delayed
SHP-2021-00020,1,2021-05-13T10:00:00,2021-05-17T08:00:00,BP-30069,BP-30020,FCL-1008,FCL-1001,BP-30042,monitoring_equipment,10,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2021-00021,1,2021-05-13T18:00:00,2021-05-17T04:00:00,BP-30030,BP-30079,FCL-1018,FCL-1022,BP-30047,refrigeration_service,1,service,ambient,ordinary,customer distribution,delayed
SHP-2021-00022,1,2021-05-15T05:00:00,2021-05-18T02:00:00,BP-30027,BP-30020,FCL-1021,FCL-1001,BP-30047,office_supply,85,case,ambient,expedited,laboratory delivery,delivered
SHP-2021-00023,1,15-May-2021 06:00:00,2021-05-18T09:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,refrigeration_service,1,service,ambient,emergency,scheduled stock transfer,delivered
SHP-2021-00024,1,2021-05-18T14:00:00,2021-05-22T05:00:00,BP-30063,BP-30044,FCL-1025,FCL-1029,BP-30047,agricultural_product,47,pallet,ambient,expedited,field programme support,delivered
SHP-2021-00025,1,2021-05-19T05:00:00,2021-05-22T07:00:00,BP-30021,BP-30014,FCL-1007,FCL-1029,BP-30047,monitoring_equipment,30,kit,ambient,ordinary,field programme support,delivered
SHP-2021-00026,1,2021-05-19T11:00:00,2021-05-20T01:00:00,BP-30014,BP-30069,FCL-1029,FCL-1008,BP-30078,medical_consumables,37,case,2-8C,expedited,field programme support,delivered
SHP-2021-00027,1,2021-05-20T13:00:00,2021-05-23T11:00:00,BP-30009,BP-30032,FCL-1010,FCL-1019,BP-30025,refrigeration_service,1,service,ambient,ordinary,scheduled stock transfer,returned
SHP-2021-00028,1,2021-05-21T09:00:00,2021-05-23T20:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,2,sealed_lot,2-8C,ordinary,environmental and wildlife reference materials,delivered
SHP-2021-00029,1,2021-05-22T10:00:00,2021-05-22T17:00:00,BP-30045,BP-30044,FCL-1016,FCL-1029,BP-30047,laboratory_material,43,pack,ambient,ordinary,laboratory delivery,delivered
SHP-2021-00030,1,2021-05-22T15:00:00,2021-05-24T22:00:00,BP-30067,BP-30010,FCL-1023,FCL-1016,BP-30020,transport_service,1,service,ambient,ordinary,customer distribution,delivered
SHP-2021-00031,1,2021-05-22T16:00:00,2021-05-24T15:00:00,BP-30011,BP-30040,FCL-1012,FCL-1015,BP-30031,cold_storage_equipment,6,unit,ambient,restricted,agricultural distribution,delivered
SHP-2021-00032,1,2021-05-23T06:00:00,2021-05-24T11:00:00,BP-30003,BP-30011,FCL-1015,FCL-1012,BP-30042,office_supply,84,case,Ambient,ordinary,customer distribution,delivered
SHP-2021-00033,1,2021-05-23T13:00:00,2021-05-24T01:00:00,BP-30053,BP-30020,FCL-1030,FCL-1001,BP-30042,agricultural_equipment,6,unit,ambient,expedited,scheduled stock transfer,delayed
SHP-2021-00034,1,2021-05-23T14:00:00,2021-05-24T05:00:00,BP-30017,BP-30006,FCL-1010,FCL-1019,BP-30025,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delivered
SHP-2021-00035,1,2021-05-26T14:00:00,2021-05-30T08:00:00,BP-30029,BP-30014,FCL-1004,FCL-1029,BP-30060,agricultural_product,50,pallet,ambient,ordinary,scheduled stock transfer,delivered
SHP-2021-00036,1,2021-05-27T09:00:00,2021-05-28T09:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,3,sealed_lot,2-8C,restricted,temperature-controlled clinical programme delivery,delivered
SHP-2021-00037,1,2021-07-09T11:00:00,2021-07-12T13:00:00,BP-30021,BP-30033,FCL-1007,FCL-1013,BP-30025,agricultural_product,4,pallet,ambient,restricted,customer distribution,returned
SHP-2021-00038,1,2021-07-25T06:00:00,2021-07-27T12:00:00,BP-30052,BP-30046,FCL-1011,FCL-1010,BP-30015,office_supply,59,case,ambient,expedited,customer distribution,delivered
SHP-2021-00039,1,2021-10-06T09:00:00,2021-10-10T03:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,64,case,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2021-00040,1,2021-10-20T18:00:00,2021-10-22T17:00:00,BP-30020,BP-30032,FCL-1001,FCL-1019,BP-30078,cold_storage_equipment,20,unit,ambient,ordinary,agricultural distribution,delivered
SHP-2021-00041,1,2021-11-19T10:00:00,2021-11-22T05:00:00,BP-30002,BP-30001,FCL-1030,FCL-1025,BP-30078,agricultural_product,5,pallet,ambient,emergency,  scheduled  stock  transfer ,delayed
SHP-2021-00042,1,2021-12-01T07:00:00,2021-12-04T08:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30031,agricultural_product,35,pallet,frozen,ordinary,agricultural distribution,returned
SHP-2021-00043,1,2021-12-18T10:00:00,2021-12-19T11:00:00,BP-30079,BP-30076,FCL-1022,FCL-1020,BP-30042,agricultural_product,37,pallet,ambient,restricted,customer distribution,delivered
SHP-2022-00001,1,2022-01-20T09:00:00,2022-01-23T20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,89,case,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2022-00002,1,2022-02-01T06:00:00,2022-02-04T22:00:00,BP-30030,BP-30039,FCL-1018,FCL-1029,BP-30060,communication_service,1,service,ambient,expedited,field programme support,delivered
SHP-2022-00003,1,2022-02-01T11:00:00,2022-02-04T12:00:00,BP-30061,BP-30018,FCL-1030,FCL-1003,BP-30025,medical_consumables,1,case,2-8C,restricted,field programme support,delivered
SHP-2022-00004,1,2022-02-01T14:00:00,2022-02-04T14:00:00,BP-30041,BP-30040,FCL-1008,FCL-1015,BP-30015,monitoring_equipment,27,kit,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00005,1,2022-02-06T08:00:00,2022-02-07T20:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30078,medical_equipment,6,unit,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00006,1,2022-02-06T16:00:00,2022-02-09T23:00:00,BP-30060,BP-30010,FCL-1009,FCL-1016,BP-30042,laboratory_material,25,pack,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00007,1,2022-02-07T08:00:00,2022-02-09T05:00:00,BP-30080,BP-30042,FCL-1020,FCL-1015,BP-30047,medical_consumables,42,case,2-8C,emergency,agricultural distribution,delivered
SHP-2022-00008,1,2022-02-07T16:00:00,2022-02-10T15:00:00,BP-30078,BP-30065,FCL-1011,FCL-1014,BP-30025,communication_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2022-00009,1,2022-02-08T12:00:00,2022-02-12T00:00:00,BP-30069,BP-30056,FCL-1008,FCL-1019,BP-30078,agricultural_product,34,pallet,ambient,ordinary,customer distribution,delayed
SHP-2022-00010,1,2022-02-09T09:00:00,2022-02-11T00:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,3,sealed_lot,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2022-00011,1,2022-02-09T11:00:00,2022-02-12T10:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,protective_equipment,29,case,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00012,1,2022-02-10T09:00:00,2022-02-11T01:00:00,BP-30001,BP-30054,FCL-1025,FCL-1007,BP-30020,monitoring_equipment,20,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2022-00013,1,2022/02/10 13:00:00,2022-02-12T17:00:00,BP-30066,BP-30036,FCL-1003,FCL-1030,BP-30015,cold_storage_equipment,17,unit,ambient,expedited,agricultural distribution,delivered
SHP-2022-00014,1,2022-02-11T13:00:00,2022-02-15T01:00:00,BP-30023,BP-30048,FCL-1002,FCL-1011,BP-30078,laboratory_material,48,pack,ambient,ordinary,scheduled stock transfer,delivered
SHP-2022-00015,1,2022-02-12T10:00:00,2022-02-13T17:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30025,transport_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2022-00016,1,2022-02-14T10:00:00,2022-02-16T14:00:00,BP-30049,BP-30071,FCL-1002,FCL-1011,BP-30015,office_supply,58,case,ambient,ordinary,laboratory delivery,delivered
SHP-2022-00017,1,2022-02-16T14:00:00,2022-02-18T15:00:00,BP-30073,BP-30078,FCL-1019,FCL-1011,BP-30031,protective_equipment,3,case,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00018,1,2022-02-18T09:00:00,2022-02-19T22:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,7,sealed_lot,2-8C,expedited,environmental and wildlife reference materials,delivered
SHP-2022-00019,1,2022-02-18T13:00:00,2022-02-20T06:00:00,BP-30002,BP-30063,FCL-1030,FCL-1025,BP-30025,medical_consumables,63,case,2-8C,ordinary,field programme support,DELIVERED
SHP-2022-00020,1,2022-02-19T09:00:00,2022-02-22T23:00:00,BP-30079,BP-30078,FCL-1022,FCL-1011,BP-30060,office_supply,84,case,ambient,restricted,field programme support,delivered
SHP-2022-00021,1,2022-02-19T13:00:00,2022-02-20T15:00:00,BP-30033,BP-30016,FCL-1013,FCL-1030,BP-30078,agricultural_equipment,3,unit,ambient,ordinary,field programme support,delivered
SHP-2022-00022,1,2022-02-19T17:00:00,2022-02-20T13:00:00,BP-30063,BP-30044,FCL-1025,FCL-1029,BP-30025,protective_equipment,71,case,ambient,ordinary,laboratory delivery,delivered
SHP-2022-00023,1,2022-02-22T10:00:00,2022-02-23T06:00:00,BP-30020,BP-30065,FCL-1001,FCL-1014,BP-30042,agricultural_equipment,5,unit,ambient,expedited,facility replenishment,delivered
SHP-2022-00024,1,2022-02-22T16:00:00,2022-02-26T04:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30031,monitoring_equipment,20,kit,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00025,1,2022-02-23T08:00:00,2022-02-23T14:00:00,BP-30046,BP-30079,FCL-1010,FCL-1022,BP-30031,office_supply,2,case,ambient,ordinary,laboratory delivery,delivered
SHP-2022-00026,1,2022-02-23T16:00:00,2022-02-25T11:00:00,BP-30009,BP-30040,FCL-1010,FCL-1015,BP-30031,protective_equipment,58,case,ambient,ordinary,laboratory delivery,delivered
SHP-2022-00027,1,2022-02-24T15:00:00,2022-02-27T11:00:00,BP-30078,BP-30009,FCL-1011,FCL-1010,BP-30015,other,8,unit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2022-00028,1,2022-03-07T09:00:00,2022-03-10T20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30031,refrigeration_service,1,service,ambient,expedited,scheduled stock transfer,delivered
SHP-2022-00029,1,2022-04-07T09:00:00,2022-04-08T06:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,86,case,2-8C,expedited,temperature-controlled clinical programme delivery,delivered
SHP-2022-00030,1,2022-04-16T15:00:00,2022-04-18T03:00:00,BP-30041,BP-30009,FCL-1008,FCL-1010,BP-30042,communication_service,1,service,ambient,ordinary,field programme support,DELAYED
SHP-2022-00031,1,2022-07-23T18:00:00,2022-07-24T04:00:00,BP-30068,BP-30030,FCL-1020,FCL-1018,BP-30055,medical_consumables,46,case,2-8C,ordinary,field programme support,delivered
SHP-2022-00032,1,2022-09-13T14:00:00,2022-09-17T01:00:00,BP-30050,BP-30073,FCL-1028,FCL-1019,BP-30015,agricultural_equipment,9,unit,ambient,expedited,field programme support,delivered
