receipt_number,purchase_order_number,purchase_order_line,receipt_date,receiving_facility_code,supplier_partner_code,received_quantity,received_unit,batch_reference,inspection_status,storage_location_code,receipt_status
RCV-2020-00206,PO-2020-00022,1,2020-05-14,FCL-1012,BP-30069,47,pallet,B-2020-19127,conditional,BIN-30,posted
RCV-2020-00207,PO-2020-00023,1,2020-05-08,FCL-1004,BP-30035,4,unit,B-2020-15980,accepted,BIN-21,posted
RCV-2020-00208,PO-2020-00024,1,2020-04-24,FCL-1030,BP-30058,1,grant,B-2020-57996,accepted,BIN-37,POSTED
RCV-2020-00209,PO-2020-00025,1,2020-05-13,FCL-1020,BP-30073,1,service,B-2020-69279,accepted,BIN-26,posted
RCV-2020-00210,PO-2020-00026,1,2020-04-20,FCL-1011,BP-30077,25.11,case,B-2020-06759,accepted,BIN-04,posted
RCV-2020-00211,PO-2020-00027,1,2020-05-01,FCL-1015,BP-30002,1,service,B-2020-31799,accepted,BIN-15,posted
RCV-2020-00212,PO-2020-00028,1,2020-05-18,FCL-1029,BP-30037,1,service,B-2020-58794,held,BIN-07,quality_hold
RCV-2020-00213,PO-2020-00029,1,2020-04-22,FCL-1025,BP-30042,7,unit,B-2020-24282,accepted,BIN-39,posted
RCV-2020-00214,PO-2020-00030,1,2020-04-20,FCL-1003,BP-30043,1,service,B-2020-25877,accepted,BIN-19,posted
RCV-2020-00215,PO-2020-00031,1,2020-04-23,FCL-1014,BP-30037,38,pallet,B-2020-74695,accepted,BIN-35,posted
RCV-2020-00216,PO-2020-00032,1,2020-05-05,FCL-1029,BP-30013,86,case,B-2020-51951,accepted,BIN-12,posted
RCV-2020-00217,PO-2020-00033,1,2020-05-16,FCL-1001,BP-30022,1,contract,B-2020-24618,accepted,BIN-29,posted
RCV-2020-00218,PO-2020-00034,1,2020-05-06,FCL-1011,BP-30056,1,grant,B-2020-33084,conditional,BIN-18,posted
RCV-2020-00219,PO-2020-00035,1,2020-04-21,FCL-1011,BP-30075,8,sealed_lot,B-2020-29391,accepted,BIN-18,posted
RCV-2020-00220,PO-2020-00036,1,2020-05-23,FCL-1001,BP-30079,83,case,B-2020-77214,accepted,BIN-22,posted
RCV-2020-00221,PO-2020-00037,1,2020-04-29,FCL-1014,BP-30069,37,pallet,B-2020-67104,accepted,BIN-19,posted
RCV-2020-00222,PO-2020-00038,1,2020-05-10,FCL-1006,BP-30022,11,case,B-2020-60164,accepted,BIN-06,posted
RCV-2020-00223,PO-2020-00039,1,2020-05-14,FCL-1023,BP-30054,20,unit,B-2020-85555,held,BIN-19,quality_hold
RCV-2020-00224,PO-2020-00040,1,2020-05-25,FCL-1007,BP-30078,1,service,B-2020-45296,conditional,BIN-41,posted
RCV-2020-00225,PO-2020-00041,1,2020/05/02,FCL-1015,BP-30039,20,pack,B-2020-61917,accepted,BIN-38,posted
RCV-2020-00226,PO-2020-00042,1,2020-05-24,FCL-1011,BP-30005,1,service,B-2020-06510,accepted,BIN-05,posted
RCV-2020-00227,PO-2020-00043,1,2020-05-29,FCL-1029,BP-30009,4,pack,B-2020-47907,accepted,BIN-29,posted
RCV-2020-00228,PO-2020-00044,1,2020-05-11,FCL-1021,BP-30080,7,pallet,B-2020-18875,conditional,BIN-21,posted
RCV-2020-00229,PO-2020-00045,1,2020-05-15,FCL-1007,BP-30078,18,pack,B-2020-16855,accepted,BIN-38,posted
RCV-2020-00230,PO-2020-00046,1,2020-05-16,FCL-1010,BP-30050,17,pack,B-2020-01155,accepted,BIN-35,posted
RCV-2020-00231,PO-2020-00047,1,2020-05-07,FCL-1011,BP-30001,11,sealed_lot,B-2020-34643,accepted,BIN-18,posted
RCV-2020-00232,PO-2020-00048,1,2020-05-18,FCL-1011,BP-30068,45,case,B-2020-74499,accepted,BIN-05,posted
RCV-2020-00233,PO-2020-00049,1,2020-05-15,FCL-1007,BP-30038,21,kit,B-2020-82090,accepted,BIN-38,posted
RCV-2020-00234,PO-2020-00051,1,2020-06-10,FCL-1007,BP-30078,15,case,B-2020-46640,accepted,BIN-12,posted
RCV-2020-00235,PO-2020-00052,1,2020-07-06,FCL-1007,BP-30078,1,contract,B-2020-62936,accepted,BIN-06,posted
RCV-2020-00236,PO-2020-00053,1,2020-06-15,FCL-1019,BP-30078,12,unit,B-2020-13281,accepted,BIN-11,posted
RCV-2020-00237,PO-2020-00054,1,2020-07-11,FCL-1029,BP-30044,52,case,B-2020-39928,accepted,BIN-23,posted
RCV-2020-00238,PO-2020-00055,1,2020-07-19,FCL-1014,BP-30073,11,pack,B-2020-15755,accepted,BIN-29,posted
RCV-2020-00239,PO-2020-00056,1,2020-08-19,FCL-1003,BP-30003,8,unit,B-2020-50025,conditional,BIN-14,posted
RCV-2020-00240,PO-2020-00057,1,2020-08-20,FCL-1010,BP-30034,18,unit,B-2020-66688,conditional,BIN-09,posted
RCV-2020-00241,PO-2020-00058,1,2020-09-01,FCL-1029,BP-30005,1,service,B-2020-53740,conditional,BIN-34,posted
RCV-2020-00242,PO-2020-00060,1,2020-11-06,FCL-1011,BP-30029,1,service,B-2020-17563,accepted,BIN-32,posted
RCV-2020-00243,PO-2020-00061,1,2020-10-24,FCL-1011,BP-30046,6,unit,B-2020-40457,accepted,BIN-19,posted
RCV-2020-00244,PO-2020-00062,1,2020-10-29,FCL-1012,BP-30059,21,unit,B-2020-65125,accepted,BIN-30,posted
RCV-2020-00245,PO-2020-00063,1,2020-11-11,FCL-1013,BP-30021,1,contract,B-2020-11107,accepted,BIN-06,posted
RCV-2020-00246,PO-2020-00064,1,2020-12-19,FCL-1007,BP-30028,1,service,B-2020-98747,accepted,BIN-37,posted
RCV-2020-00247,PO-2020-00065,1,2020-12-15,FCL-1019,BP-30078,8,unit,B-2020-76233,accepted,BIN-22,posted
RCV-2020-00248,PO-2020-00066,1,2020-12-16,FCL-1020,BP-30055,0.79,service,B-2020-30089,accepted,BIN-26,posted
RCV-2020-00249,PO-2020-00067,1,2020-12-29,FCL-1005,BP-30073,86,case,B-2020-04455,accepted,BIN-19,posted
RCV-2020-00250,PO-2020-00068,1,2020-12-15,FCL-1011,BP-30065,32,pack,B-2020-39958,accepted,BIN-13,posted
RCV-2021-00251,PO-2020-00069,1,2021-01-04,FCL-1011,BP-30047,39,pallet,B-2021-94764,accepted,BIN-13,posted
RCV-2020-00252,PO-2020-00070,1,2020-12-31,FCL-1015,BP-30033,20.04,unit,B-2020-12634,accepted,BIN-23,posted
RCV-2021-00253,PO-2020-00071,1,2021-01-26,FCL-1010,BP-30064,1,unit,B-2021-81598,accepted,BIN-21,posted
RCV-2021-00254,PO-2021-00001,1,2021-01-30,FCL-1023,BP-30069,2,case,B-2021-93937,conditional,BIN-29,posted
RCV-2021-00255,PO-2021-00002,1,2021-02-20,FCL-1011,BP-30056,41,pack,B-2021-25356,accepted,BIN-41,posted
RCV-2021-00256,PO-2021-00003,1,2021-03-22,FCL-1010,BP-30053,26,kit,B-2021-88962,accepted,BIN-11,posted
RCV-2021-00257,PO-2021-00004,1,2021-03-27,FCL-1007,BP-30078,60,case,B-2021-11206,accepted,BIN-09,posted
RCV-2021-00258,PO-2021-00005,1,2021-04-03,FCL-1030,BP-30078,29,kit,B-2021-46132,accepted,BIN-10,posted
RCV-2021-00259,PO-2021-00006,1,2021-04-25,FCL-1016,BP-30054,0.82,service,B-2021-32609,accepted,BIN-18,POSTED
RCV-2021-00260,PO-2021-00007,1,2021-04-17,FCL-1019,BP-30045,14,unit,B-2021-87393,accepted,BIN-14,posted
RCV-2021-00261,PO-2021-00008,1,2021-05-13,FCL-1007,BP-30078,14,pack,B-2021-95381,accepted,BIN-01,posted
RCV-2021-00262,PO-2021-00009,1,2021-05-27,FCL-1010,BP-30026,19,kit,B-2021-40607,conditional,BIN-07,posted
RCV-2021-00263,PO-2021-00010,1,2021-05-08,FCL-1007,BP-30078,66,case,B-2021-04704,accepted,BIN-07,posted
RCV-2021-00264,PO-2021-00011,1,2021-06-06,FCL-1019,BP-30078,46,case,B-2021-12425,accepted,BIN-08,posted
RCV-2021-00265,PO-2021-00012,1,2021-06-07,FCL-1011,BP-30059,7,unit,B-2021-49499,accepted,BIN-38,posted
RCV-2021-00266,PO-2021-00013,1,2021-05-26,FCL-1025,BP-30049,23,pallet,B-2021-62930,accepted,BIN-03,posted
RCV-2021-00267,PO-2021-00015,1,2021-05-31,FCL-1019,BP-30038,20,unit,B-2021-55990,accepted,BIN-14,posted
RCV-2021-00268,PO-2021-00016,1,2021-05-24,FCL-1009,BP-30072,12,sealed_lot,B-2021-06900,accepted,BIN-16,posted
RCV-2021-00269,PO-2021-00017,1,2021-05-30,FCL-1010,BP-30011,8,kit,B-2021-91218,held,BIN-29,quality_hold
RCV-2021-00270,PO-2021-00018,1,2021-06-19,FCL-1019,BP-30053,15,unit,B-2021-08739,accepted,BIN-40,posted
RCV-2021-00271,PO-2021-00019,1,2021-06-22,FCL-1011,BP-30039,10,case,B-2021-37881,conditional,BIN-05,posted
RCV-2021-00272,PO-2021-00020,1,2021-05-26,FCL-1002,BP-30079,1,case,B-2021-52179,accepted,BIN-21,posted
RCV-2021-00273,PO-2021-00022,1,2021-06-07,FCL-1020,BP-30075,21,unit,B-2021-47056,accepted,BIN-17,posted
RCV-2021-00274,PO-2021-00023,1,2021-06-03,FCL-1010,BP-30066,1,service,B-2021-17959,accepted,BIN-11,posted
RCV-2021-00275,PO-2021-00024,1,2021-06-05,FCL-1011,BP-30035,47,case,B-2021-49354,accepted,BIN-15,posted
RCV-2021-00276,PO-2021-00025,1,2021-05-25,FCL-1030,BP-30054,16,pallet,B-2021-38149,accepted,BIN-14,posted
RCV-2021-00277,PO-2021-00026,1,2021-06-03,FCL-1011,BP-30001,29,case,B-2021-09660,accepted,BIN-23,posted
RCV-2021-00278,PO-2021-00027,1,2021-05-22,FCL-1010,BP-30018,15.16,case,B-2021-06196,accepted,BIN-34,posted
RCV-2021-00279,PO-2021-00028,1,2021-06-19,FCL-1010,BP-30058,21,unit,B-2021-71137,accepted,BIN-18,posted
RCV-2021-00280,PO-2021-00029,1,2021-05-22,FCL-1015,BP-30012,44.5,case,B-2021-97340,accepted,BIN-41,posted
RCV-2021-00281,PO-2021-00030,1,2021-06-22,FCL-1001,BP-30057,14.17,case,B-2021-68335,accepted,BIN-38,posted
RCV-2021-00282,PO-2021-00031,1,2021-06-01,FCL-1007,BP-30078,4.36,sealed_lot,B-2021-44085,accepted,BIN-40,posted
RCV-2021-00283,PO-2021-00032,1,2021-06-05,FCL-1020,BP-30018,17,unit,B-2021-82802,accepted,BIN-41,posted
RCV-2021-00284,PO-2021-00033,1,2021-05-30,FCL-1011,BP-30009,1,contract,B-2021-17913,accepted,BIN-32,posted
RCV-2021-00285,PO-2021-00034,1,2021-05-26,FCL-1030,BP-30038,11,case,B-2021-83085,accepted,BIN-18,posted
RCV-2021-00286,PO-2021-00035,1,2021-06-23,FCL-1010,BP-30073,27,kit,B-2021-03948,accepted,BIN-04,posted
RCV-2021-00287,PO-2021-00036,1,2021-06-06,FCL-1019,BP-30078,9,sealed_lot,B-2021-13519,accepted,BIN-22,posted
RCV-2021-00288,PO-2021-00037,1,2021-06-22,FCL-1011,BP-30056,22,pack,B-2021-61721,accepted,BIN-15,posted
RCV-2021-00289,PO-2021-00038,1,2021-06-05,FCL-1011,BP-30003,15,unit,B-2021-86645,accepted,BIN-03,posted
RCV-2021-00290,PO-2021-00039,1,2021-06-27,FCL-1007,BP-30025,1,unit,B-2021-89192,accepted,BIN-36,posted
RCV-2021-00291,PO-2021-00040,1,2021-06-27,FCL-1010,BP-30018,15.8,kit,B-2021-85049,accepted,BIN-24,posted
RCV-2021-00292,PO-2021-00041,1,2021-06-21,FCL-1007,BP-30056,1,contract,B-2021-43409,accepted,BIN-05,posted
RCV-2021-00293,PO-2021-00042,1,2021-05-27,FCL-1009,BP-30005,22,kit,B-2021-30713,accepted,BIN-13,posted
RCV-2021-00294,PO-2021-00043,1,2021-06-04,FCL-1029,BP-30068,1,unit,B-2021-62679,accepted,BIN-14,posted
RCV-2021-00295,PO-2021-00044,1,2021-06-07,FCL-1011,BP-30021,23,unit,B-2021-78650,accepted,BIN-16,posted
RCV-2021-00296,PO-2021-00045,1,2021-05-29,FCL-1019,BP-30075,1,service,B-2021-80693,accepted,BIN-40,posted
RCV-2021-00297,PO-2021-00046,1,2021-06-03,FCL-1010,BP-30050,48,pack,B-2021-29431,accepted,BIN-07,posted
RCV-2021-00298,PO-2021-00047,1,2021-06-24,FCL-1011,BP-30056,21,unit,B-2021-49364,held,BIN-11,quality_hold
RCV-2021-00299,PO-2021-00048,1,2021-06-14,FCL-1011,BP-30038,38,pack,B-2021-91208,accepted,BIN-15,posted
RCV-2021-00300,PO-2021-00049,1,2021-06-11,FCL-1018,BP-30080,1,service,B-2021-20387,accepted,BIN-01,posted
RCV-2021-00301,PO-2021-00050,1,2021-07-28,FCL-1011,BP-30056,1,service,B-2021-64128,accepted,BIN-38,posted
RCV-2021-00302,PO-2021-00051,1,2021-08-17,FCL-1015,BP-30030,74,case,B-2021-91821,accepted,BIN-04,posted
RCV-2021-00303,PO-2021-00052,1,2021-08-22,FCL-1027,BP-30059,28 case,case,B-2021-74351,accepted,BIN-06,posted
RCV-2021-00304,PO-2021-00053,1,2021-09-05,FCL-1002,BP-30032,1,service,B-2021-00710,accepted,BIN-08,posted
RCV-2021-00305,PO-2021-00054,1,2021-09-11,FCL-1007,BP-30078,12,pallet,B-2021-08361,accepted,BIN-38,posted
RCV-2021-00306,PO-2021-00055,1,2021-09-30,FCL-1003,BP-30014,77,case,B-2021-13688,conditional,BIN-37,posted
RCV-2021-00307,PO-2021-00056,1,2021-10-04,FCL-1007,BP-30078,33,case,B-2021-07885,accepted,BIN-09,posted
RCV-2021-00308,PO-2021-00057,1,2021-10-03,FCL-1011,BP-30056,42,pack,B-2021-52222,accepted,BIN-03,posted
RCV-2021-00309,PO-2021-00058,1,2021-12-12,FCL-1029,BP-30050,31,case,B-2021-17014,accepted,BIN-30,posted
RCV-2021-00310,PO-2021-00059,1,2021-12-16,FCL-1026,BP-30057,5,case,B-2021-56544,accepted,BIN-32,posted
RCV-2021-00311,PO-2021-00060,1,2021-12-31,FCL-1023,BP-30038,23.41,kit,B-2021-04128,accepted,BIN-18,posted
RCV-2022-00312,PO-2021-00061,1,2022-01-01,FCL-1020,BP-30052,11,sealed_lot,B-2022-66416,held,BIN-01,quality_hold
RCV-2022-00313,PO-2022-00001,1,2022-02-16,FCL-1010,BP-30078,77,case,B-2022-64256,accepted,BIN-07,posted
RCV-2022-00314,PO-2022-00002,1,2022-02-07,FCL-1010,BP-30078,6,sealed_lot,B-2022-46391,conditional,BIN-18,posted
RCV-2022-00315,PO-2022-00003,1,2022-03-14,FCL-1020,BP-30078,12,case,B-2022-22928,accepted,BIN-38,posted
RCV-2022-00316,PO-2022-00004,1,2022-03-06,FCL-1011,BP-30040,15,unit,B-2022-29534,accepted,BIN-20,posted
RCV-2022-00317,PO-2022-00005,1,2022-02-24,FCL-1019,BP-30023,1,service,B-2022-23214,accepted,BIN-17,posted
RCV-2022-00318,PO-2022-00006,1,2022-02-11,FCL-1001,BP-30062,1,service,B-2022-25359,accepted,BIN-22,posted
RCV-2022-00319,PO-2022-00007,1,2022-02-22,FCL-1020,BP-30026,30,pallet,B-2022-05211,accepted,BIN-42,posted
RCV-2022-00320,PO-2022-00008,1,2022-03-10,FCL-1011,BP-30041,1,service,B-2022-22348,accepted,BIN-39,posted
RCV-2022-00321,PO-2022-00009,1,2022-03-13,FCL-1011,BP-30033,18,kit,B-2022-51225,conditional,BIN-11,posted
RCV-2022-00322,PO-2022-00010,1,2022-03-16,FCL-1014,BP-30020,11,unit,B-2022-49413,conditional,BIN-12,posted
RCV-2022-00323,PO-2022-00011,1,2022-03-07,FCL-1010,BP-30026,7,sealed_lot,B-2022-10004,conditional,BIN-14,posted
RCV-2022-00324,PO-2022-00012,1,2022-02-16,FCL-1011,BP-30032,1,service,B-2022-35097,accepted,BIN-32,posted
RCV-2022-00325,PO-2022-00013,1,2022-02-22,FCL-1020,BP-30052,5,unit,B-2022-58035,accepted,BIN-31,posted
RCV-2022-00326,PO-2022-00014,1,2022-02-22,FCL-1011,BP-30080,11,pallet,B-2022-91711,accepted,BIN-23,posted
RCV-2022-00327,PO-2022-00015,1,2022-03-02,FCL-1014,BP-30032,36 pack,pack,B-2022-79388,accepted,BIN-37,posted
RCV-2022-00328,PO-2022-00016,1,2022-03-13,FCL-1016,BP-30007,46,case,B-2022-82424,accepted,BIN-11,posted
RCV-2022-00329,PO-2022-00018,1,2022-03-17,FCL-1025,BP-30080,1,service,B-2022-71912,accepted,BIN-39,posted
RCV-2022-00330,PO-2022-00019,1,2022-03-04,FCL-1011,BP-30069,71,case,B-2022-32839,accepted,BIN-10,posted
RCV-2022-00331,PO-2022-00020,1,2022-02-22,FCL-1025,BP-30079,0.91,service,B-2022-90864,accepted,BIN-21,posted
RCV-2022-00332,PO-2022-00021,1,2022-03-20,FCL-1011,BP-30018,1,service,B-2022-09790,conditional,BIN-32,posted
RCV-2022-00333,PO-2022-00022,1,2022-03-14,FCL-1019,BP-30016,21,unit,B-2022-25625,accepted,BIN-27,posted
RCV-2022-00334,PO-2022-00023,1,2022-02-19,FCL-1019,BP-30078,21 kit,kit,B-2022-74620,accepted,BIN-03,posted
RCV-2022-00335,PO-2022-00024,1,2022-03-12,FCL-1029,BP-30017,0.84,contract,B-2022-71895,accepted,BIN-08,posted
RCV-2022-00336,PO-2022-00025,1,2022-03-05,FCL-1011,BP-30026,60,pack,B-2022-21540,accepted,BIN-32,posted
RCV-2022-00337,PO-2022-00026,1,2022-02-21,FCL-1016,BP-30024,11,sealed_lot,B-2022-48878,accepted,BIN-04,posted
RCV-2022-00338,PO-2022-00027,1,2022-03-14,FCL-1016,BP-30022,1,service,B-2022-07901,accepted,BIN-33,posted
RCV-2022-00339,PO-2022-00028,1,2022-02-26,FCL-1019,BP-30002,7,pack,B-2022-74432,accepted,BIN-36,posted
RCV-2022-00340,PO-2022-00029,1,2022-03-29,FCL-1011,BP-30040,8,kit,B-2022-75620,accepted,BIN-33,posted
RCV-2022-00341,PO-2022-00030,1,2022-03-02,FCL-1018,BP-30011,8,case,B-2022-22321,accepted,BIN-16,posted
RCV-2022-00342,PO-2022-00031,1,2022-03-26,FCL-1015,BP-30066,9,sealed_lot,B-2022-07700,accepted,BIN-14,posted
RCV-2022-00343,PO-2022-00032,1,2022-03-10,FCL-1015,BP-30040,30,kit,B-2022-27739,accepted,BIN-21,posted
RCV-2022-00344,PO-2022-00033,1,2022-03-18,FCL-1019,BP-30008,21,case,B-2022-88767,held,BIN-40,quality_hold
RCV-2022-00345,PO-2022-00034,1,2022-03-20,FCL-1012,BP-30054,19,case,B-2022-53367,conditional,BIN-09,posted
RCV-2022-00346,PO-2022-00035,1,2022-03-24,FCL-1007,BP-30066,60,case,B-2022-08834,accepted,BIN-15,posted
RCV-2022-00347,PO-2022-00037,1,2022-03-11,FCL-1027,BP-30033,1,service,B-2022-81429,accepted,BIN-35,posted
RCV-2022-00348,PO-2022-00038,1,2022-03-20,FCL-1011,BP-30059,1,service,B-2022-94959,accepted,BIN-11,posted
RCV-2022-00349,PO-2022-00039,1,2022-03-07,FCL-1009,BP-30075,85,case,B-2022-64673,held,BIN-17,quality_hold
RCV-2022-00350,PO-2022-00040,1,2022-04-08,FCL-1016,BP-30037,11,unit,B-2022-07618,accepted,BIN-13,posted
RCV-2022-00351,PO-2022-00041,1,2022-03-06,FCL-1011,BP-30068,24.94,kit,B-2022-23799,accepted,BIN-16,posted
RCV-2022-00352,PO-2022-00042,1,2022-04-13,FCL-1011,BP-30034,52,case,B-2022-56068,conditional,BIN-21,posted
RCV-2022-00353,PO-2022-00043,1,2022-03-22,FCL-1024,BP-30043,67,case,B-2022-92360,conditional,BIN-35,posted
RCV-2022-00354,PO-2022-00044,1,2022-04-10,FCL-1010,BP-30078,40,case,B-2022-96336,accepted,BIN-14,posted
RCV-2022-00355,PO-2022-00045,1,2022-04-30,FCL-1007,BP-30078,3,sealed_lot,B-2022-66624,accepted,BIN-15,posted
RCV-2022-00356,PO-2022-00046,1,2022-05-10,FCL-1003,BP-30068,4,unit,B-2022-12055,accepted,BIN-13,posted
RCV-2022-00357,PO-2022-00047,1,2022-05-02,FCL-1009,BP-30021,11,kit,B-2022-67746,accepted,BIN-36,posted
RCV-2022-00358,PO-2022-00048,1,2022-06-06,FCL-1010,BP-30012,1,grant,B-2022-09874,accepted,BIN-02,posted
RCV-2022-00359,PO-2022-00049,1,2022-06-14,FCL-1030,BP-30048,63,case,B-2022-26360,accepted,BIN-25,posted
RCV-2022-00360,PO-2022-00051,1,2022-08-12,FCL-1007,BP-30030,0.82,contract,B-2022-32236,accepted,BIN-34,posted
RCV-2022-00361,PO-2022-00053,1,2022-08-25,FCL-1011,BP-30059,1,unit,B-2022-54063,accepted,BIN-32,posted
RCV-2022-00362,PO-2022-00055,1,2022-09-10,FCL-1009,BP-30015,77,case,B-2022-87949,accepted,BIN-16,posted
RCV-2022-00363,PO-2022-00056,1,2022-10-20,FCL-1025,BP-30011,1,service,B-2022-71722,conditional,BIN-34,posted
RCV-2022-00364,PO-2022-00057,1,2022-10-10,FCL-1011,BP-30043,2,pallet,B-2022-32763,accepted,BIN-27,posted
RCV-2022-00365,PO-2022-00058,1,2022-11-10,FCL-1015,BP-30029,72,case,B-2022-79591,,BIN-25,posted
RCV-2022-00366,PO-2022-00059,1,2022-10-24,FCL-1011,BP-30066,76,case,B-2022-17484,accepted,BIN-30,posted
RCV-2022-00367,PO-2022-00060,1,2022-11-03,FCL-1025,BP-30050,63,case,B-2022-05346,held,BIN-40,quality_hold
RCV-2022-00368,PO-2022-00061,1,2022-10-12,FCL-1015,BP-30040,5.56,unit,B-2022-21694,held,BIN-38,quality_hold
RCV-2022-00369,PO-2022-00062,1,2022-10-20,FCL-1026,BP-30055,10,pack,B-2022-40580,accepted,BIN-42,posted
RCV-2022-00370,PO-2022-00063,1,2022-10-22,FCL-1001,BP-30015,1,service,B-2022-12552,accepted,BIN-23,posted
RCV-2022-00371,PO-2022-00064,1,2022-11-10,FCL-1023,BP-30037,1,service,B-2022-67976,accepted,BIN-14,posted
RCV-2022-00372,PO-2022-00065,1,2022-11-16,FCL-1007,BP-30078,9,case,B-2022-99979,accepted,BIN-16,posted
RCV-2022-00373,PO-2022-00066,1,2022-11-18,FCL-1011,BP-30020,6.31,unit,B-2022-28121,accepted,BIN-27,posted
RCV-2022-00374,PO-2022-00067,1,2022-11-19,FCL-1011,BP-30050,9,unit,B-2022-40215,conditional,BIN-09,posted
RCV-2022-00375,PO-2022-00068,1,2022-11-19,FCL-1030,BP-30022,1,service,B-2022-90430,accepted,BIN-12,posted
RCV-2022-00376,PO-2022-00069,1,2022-10-16,FCL-1004,BP-30042,1,contract,B-2022-99162,accepted,BIN-12,posted
RCV-2022-00377,PO-2022-00070,1,2022-11-04,FCL-1018,BP-30072,22,unit,B-2022-21988,accepted,BIN-16,posted
RCV-2022-00378,PO-2022-00071,1,2022-11-16,FCL-1016,BP-30002,52,pack,B-2022-37334,accepted,BIN-17,posted
RCV-2022-00379,PO-2022-00072,1,2022-10-20,FCL-1020,BP-30073,1,service,B-2022-52418,accepted,BIN-41,posted
RCV-2022-00380,PO-2022-00073,1,2022-11-16,FCL-1023,BP-30072,1,service,B-2022-22679,accepted,BIN-36,posted
RCV-2022-00381,PO-2022-00074,1,2022-11-03,FCL-1011,BP-30034,1,service,B-2022-40743,accepted,BIN-31,posted
RCV-2022-00382,PO-2022-00075,1,2022-10-31,FCL-1011,BP-30055,37.9,case,B-2022-25524,accepted,BIN-05,posted
RCV-2022-00383,PO-2022-00077,1,2022-11-21,FCL-1011,BP-30030,5,unit,B-2022-10404,accepted,BIN-20,posted
RCV-2022-00384,PO-2022-00078,1,2022-11-01,FCL-1002,BP-30050,43,case,B-2022-12172,accepted,BIN-39,posted
RCV-2022-00385,PO-2022-00080,1,2022-11-29,FCL-1010,BP-30077,10,sealed_lot,B-2022-98092,accepted,BIN-22,posted
RCV-2022-00386,PO-2022-00081,1,2022-11-07,FCL-1011,BP-30047,1,service,B-2022-51872,accepted,BIN-40,posted
RCV-2022-00387,PO-2022-00082,1,2022-12-02,FCL-1011,BP-30056,24,pack,B-2022-00820,conditional,BIN-30,posted
RCV-2022-00388,PO-2022-00083,1,2022-11-19,FCL-1011,BP-30056,"2,56",unit,B-2022-35310,accepted,BIN-12,posted
RCV-2022-00389,PO-2022-00084,1,2022-11-09,FCL-1011,BP-30056,79,case,B-2022-73976,accepted,BIN-40,posted
RCV-2022-00390,PO-2022-00085,1,2022-11-17,FCL-1011,BP-30053,0.95,service,B-2022-31740,conditional,BIN-24,posted
RCV-2022-00391,PO-2022-00086,1,2022-12-01,FCL-1014,BP-30043,0.8,service,B-2022-11645,accepted,BIN-23,posted
RCV-2023-00392,PO-2022-00088,1,2023-01-15,FCL-1029,BP-30035,16,kit,B-2023-56714,accepted,BIN-09,posted
RCV-2022-00393,PO-2022-00089,1,2022-12-28,FCL-1011,BP-30029,17,unit,B-2022-63053,accepted,BIN-06,posted
RCV-2023-00394,PO-2022-00090,1,2023-01-22,FCL-1020,BP-30001,1,service,B-2023-46830,accepted,BIN-16,posted
RCV-2023-00395,PO-2022-00091,1,2023-01-03,FCL-1007,BP-30062,10,unit,B-2023-77398,conditional,BIN-07,posted
RCV-2023-00396,PO-2023-00001,1,2023-02-10,FCL-1007,BP-30024,1,service,B-2023-99075,conditional,BIN-20,posted
RCV-2023-00397,PO-2023-00002,1,2023-02-22,FCL-1011,BP-30060,1.89,sealed_lot,B-2023-08371,accepted,BIN-25,posted
RCV-2023-00398,PO-2023-00003,1,2023-02-25,FCL-1026,BP-30057,10,kit,B-2023-12436,accepted,BIN-02,posted
RCV-2023-00399,PO-2023-00006,1,2023-02-24,FCL-1015,BP-30021,25,pallet,B-2023-89211,accepted,BIN-14,posted
RCV-2023-00400,PO-2023-00007,1,2023-03-07,FCL-1003,BP-30064,1,service,B-2023-84307,accepted,BIN-38,posted
RCV-2023-00401,PO-2023-00008,1,2023-03-18,FCL-1011,BP-30011,13,pallet,B-2023-40919,conditional,BIN-30,posted
RCV-2023-00402,PO-2023-00009,1,2023-02-26,FCL-1011,BP-30001,80,case,B-2023-33084,accepted,BIN-14,posted
RCV-2023-00403,PO-2023-00011,1,2023-03-30,FCL-1019,BP-30078,28,case,B-2023-56672,accepted,BIN-08,posted
RCV-2023-00404,PO-2023-00012,1,2023-04-06,FCL-1007,BP-30078,40.6,case,B-2023-13225,held,BIN-34,quality_hold
RCV-2023-00405,PO-2023-00016,1,2023-05-03,FCL-1029,BP-30022,1,grant,B-2023-20099,accepted,BIN-08,posted
RCV-2023-00406,PO-2023-00017,1,2023-05-12,FCL-1011,BP-30042,78,case,B-2023-58037,conditional,BIN-06,posted
RCV-2023-00407,PO-2023-00018,1,2023-05-19,FCL-1007,BP-30078,1,contract,B-2023-41341,accepted,BIN-01,posted
RCV-2023-00408,PO-2023-00019,1,2023-04-19,FCL-1020,BP-30024,31,case,B-2023-28135,accepted,BIN-02,posted
RCV-2023-00409,PO-2023-00020,1,2023-04-24,FCL-1012,BP-30020,4,pallet,B-2023-91749,accepted,BIN-06,posted
RCV-2023-00410,PO-2023-00021,1,2023-04-20,FCL-1011,BP-30053,1,service,B-2023-92301,accepted,BIN-29,posted
RCV-2023-00411,PO-2023-00022,1,2023-04-23,FCL-1015,BP-30050,6,unit,B-2023-31095,held,BIN-34,quality_hold
RCV-2023-00412,PO-2023-00023,1,2023-05-18,FCL-1030,BP-30043,59.81,case,B-2023-78525,accepted,BIN-24,posted
