shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status,dispatch_year,dispatch_month,transit_hours
SHP-2019-00022,1,2019-09-12 14:00:00,2019-09-15 20:00:00,BP-30064,BP-30041,FCL-1010,FCL-1008,BP-30042,other,23,unit,ambient,expedited,field programme support,delivered,2019,9,78.0
SHP-2019-00023,1,2019-09-12 18:00:00,2019-09-13 06:00:00,BP-30060,BP-30008,FCL-1009,FCL-1007,BP-30020,research_contract,1,contract,ambient,restricted,agricultural distribution,delivered,2019,9,12.0
SHP-2019-00024,1,2019-09-13 07:00:00,2019-09-17 03:00:00,BP-30023,BP-30036,FCL-1002,FCL-1030,BP-30060,office_supply,39,case,ambient,ordinary,facility replenishment,delivered,2019,9,92.0
SHP-2019-00025,1,2019-09-13 08:00:00,2019-09-15 00:00:00,BP-30004,BP-30078,FCL-1029,FCL-1011,BP-30025,agricultural_product,24,pallet,ambient,ordinary,laboratory delivery,delivered,2019,9,40.0
SHP-2019-00026,1,2019-09-13 09:00:00,2019-09-15 09:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,4,sealed_lot,2-8c,expedited,environmental and wildlife reference materials,delivered,2019,9,48.0
SHP-2019-00027,1,2019-09-13 11:00:00,2019-09-16 05:00:00,BP-30078,BP-30049,FCL-1011,FCL-1002,BP-30060,medical_consumables,85,case,2-8c,ordinary,scheduled stock transfer,returned,2019,9,66.0
SHP-2019-00028,1,2019-09-14 16:00:00,2019-09-16 05:00:00,BP-30028,BP-30057,FCL-1020,FCL-1016,BP-30025,laboratory_material,39,pack,ambient,expedited,field programme support,delivered,2019,9,37.0
SHP-2019-00029,1,2019-09-15 07:00:00,2019-09-18 23:00:00,BP-30025,BP-30051,FCL-1026,FCL-1005,BP-30031,consulting_service,1,service,ambient,ordinary,laboratory delivery,delivered,2019,9,88.0
SHP-2019-00030,1,2019-09-16 09:00:00,2019-09-19 21:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30078,consulting_service,1,service,ambient,restricted,facility replenishment,delivered,2019,9,84.0
SHP-2019-00031,1,2019-09-16 13:00:00,2019-09-18 23:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30055,agricultural_product,24,pallet,ambient,ordinary,agricultural distribution,delivered,2019,9,58.0
SHP-2019-00032,1,2019-09-16 18:00:00,2019-09-19 15:00:00,BP-30015,BP-30078,FCL-1006,FCL-1011,BP-30025,refrigeration_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2019,9,69.0
SHP-2019-00033,1,2019-09-17 06:00:00,2019-09-17 20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,agricultural_product,41,pallet,ambient,ordinary,scheduled stock transfer,delivered,2019,9,14.0
SHP-2019-00034,1,2019-09-18 09:00:00,2019-09-18 17:00:00,BP-30024,BP-30041,FCL-1016,FCL-1008,BP-30055,cold_storage_equipment,17,unit,ambient,ordinary,laboratory delivery,delivered,2019,9,8.0
SHP-2019-00035,1,2019-09-20 14:00:00,2019-09-23 15:00:00,BP-30060,BP-30077,FCL-1009,FCL-1007,BP-30060,monitoring_equipment,7,kit,ambient,ordinary,agricultural distribution,delivered,2019,9,73.0
SHP-2019-00036,1,2019-09-20 18:00:00,,BP-30067,BP-30010,FCL-1023,FCL-1016,BP-30047,laboratory_material,31,pack,ambient,ordinary,scheduled stock transfer,in_transit,2019,9,
SHP-2019-00037,1,2019-09-21 15:00:00,2019-09-23 02:00:00,BP-30072,BP-30074,FCL-1024,FCL-1015,BP-30060,other,23,unit,ambient,ordinary,scheduled stock transfer,delayed,2019,9,35.0
SHP-2019-00038,1,2019-09-25 09:00:00,2019-09-28 02:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,12,case,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2019,9,65.0
SHP-2019-00039,1,2019-09-25 14:00:00,2019-09-26 02:00:00,BP-30018,BP-30037,FCL-1003,FCL-1017,BP-30020,monitoring_equipment,20,kit,ambient,ordinary,scheduled stock transfer,delivered,2019,9,12.0
SHP-2019-00040,1,2019-10-26 10:00:00,2019-10-29 23:00:00,BP-30047,BP-30044,FCL-1016,FCL-1029,BP-30042,medical_consumables,50,case,2-8c,expedited,customer distribution,delivered,2019,10,85.0
SHP-2019-00041,1,2019-11-08 09:00:00,2019-11-10 14:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,7,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2019,11,53.0
SHP-2019-00042,1,2019-11-14 09:00:00,2019-11-15 10:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,80,case,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2019,11,25.0
SHP-2019-00043,1,2019-11-15 11:00:00,2019-11-18 17:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30055,laboratory_material,58,pack,ambient,ordinary,laboratory delivery,delivered,2019,11,78.0
SHP-2019-00044,1,2019-11-22 12:00:00,2019-11-22 21:00:00,BP-30019,BP-30027,FCL-1010,FCL-1021,BP-30047,biological_sample,18,sealed_lot,2-8c,ordinary,facility replenishment,delivered,2019,11,9.0
SHP-2019-00045,1,2019-12-19 06:00:00,2019-12-21 15:00:00,BP-30024,BP-30030,FCL-1016,FCL-1018,BP-30055,communication_service,1,service,ambient,ordinary,field programme support,delayed,2019,12,57.0
SHP-2020-00001,1,2020-01-02 18:00:00,2020-01-03 05:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30015,agricultural_product,4,pallet,ambient,ordinary,laboratory delivery,delivered,2020,1,11.0
SHP-2020-00002,1,2020-01-09 15:00:00,2020-01-11 09:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,cold_storage_equipment,6,unit,ambient,expedited,customer distribution,delivered,2020,1,42.0
SHP-2020-00003,1,2020-01-24 16:00:00,2020-01-27 02:00:00,BP-30016,BP-30036,FCL-1030,FCL-1030,BP-30015,office_supply,40,case,ambient,ordinary,customer distribution,delivered,2020,1,58.0
SHP-2020-00004,1,2020-01-30 09:00:00,2020-02-02 16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,9,sealed_lot,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2020,1,79.0
SHP-2020-00005,1,2020-02-18 17:00:00,,BP-30019,BP-30016,FCL-1010,FCL-1030,BP-30025,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,in_transit,2020,2,
SHP-2020-00006,1,2020-02-21 07:00:00,2020-02-22 18:00:00,BP-30040,BP-30042,FCL-1015,FCL-1015,BP-30025,cold_storage_equipment,24,unit,ambient,ordinary,laboratory delivery,delivered,2020,2,35.0
SHP-2020-00007,1,2020-02-26 09:00:00,2020-02-26 20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,10,case,2-8c,expedited,temperature-controlled clinical programme delivery,delivered,2020,2,11.0
SHP-2020-00008,1,2020-03-21 05:00:00,2020-03-24 20:00:00,BP-30010,BP-30075,FCL-1016,FCL-1027,BP-30015,medical_consumables,66,case,2-8c,emergency,field programme support,delivered,2020,3,87.0
SHP-2020-00009,1,2020-04-03 07:00:00,2020-04-03 22:00:00,BP-30031,BP-30033,FCL-1023,FCL-1013,BP-30031,cold_storage_equipment,18,unit,ambient,ordinary,customer distribution,delivered,2020,4,15.0
SHP-2020-00010,1,2020-04-03 18:00:00,2020-04-05 12:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30078,consulting_service,1,service,ambient,ordinary,customer distribution,returned,2020,4,42.0
SHP-2020-00011,1,2020-04-04 09:00:00,2020-04-05 11:00:00,BP-30054,BP-30041,FCL-1007,FCL-1008,BP-30025,agricultural_product,22,pallet,ambient,ordinary,laboratory delivery,delivered,2020,4,26.0
SHP-2020-00012,1,2020-04-04 10:00:00,2020-04-05 07:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30042,biological_sample,7,sealed_lot,2-8c,ordinary,field programme support,delivered,2020,4,21.0
SHP-2020-00013,1,2020-04-04 15:00:00,2020-04-05 01:00:00,BP-30044,BP-30015,FCL-1029,FCL-1006,BP-30055,other,2,unit,ambient,restricted,facility replenishment,delivered,2020,4,10.0
SHP-2020-00014,1,2020-04-05 14:00:00,2020-04-05 23:00:00,BP-30052,BP-30008,FCL-1011,FCL-1007,BP-30055,legal_service,1,service,ambient,expedited,facility replenishment,delivered,2020,4,9.0
SHP-2020-00015,1,2020-04-06 11:00:00,2020-04-09 19:00:00,BP-30068,BP-30065,FCL-1020,FCL-1014,BP-30078,biological_sample,1,sealed_lot,2-8c,ordinary,agricultural distribution,delivered,2020,4,80.0
SHP-2020-00016,1,2020-04-08 08:00:00,2020-04-10 08:00:00,BP-30057,BP-30069,FCL-1016,FCL-1008,BP-30078,monitoring_equipment,22,kit,ambient,ordinary,field programme support,delivered,2020,4,48.0
SHP-2020-00017,1,2020-04-08 10:00:00,2020-04-08 17:00:00,BP-30041,BP-30070,FCL-1008,FCL-1019,BP-30055,office_supply,79,case,ambient,ordinary,customer distribution,delivered,2020,4,7.0
SHP-2020-00018,1,2020-04-08 10:00:00,2020-04-09 15:00:00,BP-30063,BP-30041,FCL-1025,FCL-1008,BP-30031,research_contract,1,contract,ambient,ordinary,field programme support,delivered,2020,4,29.0
SHP-2020-00019,1,2020-04-10 09:00:00,2020-04-12 01:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,2,sealed_lot,2-8c,ordinary,environmental and wildlife reference materials,delivered,2020,4,40.0
SHP-2020-00020,1,2020-04-10 17:00:00,2020-04-11 00:00:00,BP-30068,BP-30006,FCL-1020,FCL-1019,BP-30047,protective_equipment,34,case,ambient,ordinary,laboratory delivery,delivered,2020,4,7.0
SHP-2020-00021,1,2020-04-13 08:00:00,2020-04-16 17:00:00,BP-30001,BP-30045,FCL-1025,FCL-1016,BP-30042,legal_service,1,service,ambient,ordinary,laboratory delivery,delivered,2020,4,81.0
SHP-2020-00022,1,2020-04-14 05:00:00,2020-04-17 20:00:00,BP-30040,BP-30076,FCL-1015,FCL-1020,BP-30025,agricultural_equipment,15,unit,ambient,expedited,customer distribution,delivered,2020,4,87.0
SHP-2020-00023,1,2020-04-14 09:00:00,2020-04-17 22:00:00,BP-30045,BP-30037,FCL-1016,FCL-1017,BP-30055,agricultural_equipment,15,unit,ambient,restricted,agricultural distribution,delivered,2020,4,85.0
SHP-2020-00024,1,2020-04-15 18:00:00,2020-04-19 02:00:00,BP-30036,BP-30041,FCL-1030,FCL-1008,BP-30042,protective_equipment,10,case,ambient,ordinary,laboratory delivery,delivered,2020,4,80.0
SHP-2020-00025,1,2020-04-16 10:00:00,2020-04-18 15:00:00,BP-30010,BP-30067,FCL-1016,FCL-1023,BP-30078,other,12,unit,ambient,ordinary,field programme support,delivered,2020,4,53.0
SHP-2020-00026,1,2020-04-17 07:00:00,2020-04-19 07:00:00,BP-30023,BP-30039,FCL-1002,FCL-1029,BP-30055,cold_storage_equipment,5,unit,ambient,expedited,agricultural distribution,delivered,2020,4,48.0
SHP-2020-00027,1,2020-04-17 11:00:00,2020-04-19 00:00:00,BP-30035,BP-30032,FCL-1009,FCL-1019,BP-30078,monitoring_equipment,21,kit,ambient,ordinary,customer distribution,delivered,2020,4,37.0
SHP-2020-00028,1,2020-04-18 08:00:00,2020-04-21 20:00:00,BP-30076,BP-30062,FCL-1020,FCL-1012,BP-30060,refrigeration_service,1,service,ambient,ordinary,customer distribution,delivered,2020,4,84.0
SHP-2020-00029,1,2020-04-18 13:00:00,2020-04-20 03:00:00,BP-30071,BP-30046,FCL-1011,FCL-1010,BP-30060,agricultural_equipment,13,unit,ambient,ordinary,customer distribution,delivered,2020,4,38.0
SHP-2020-00030,1,2020-04-20 07:00:00,2020-04-22 03:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,agricultural_product,25,pallet,ambient,expedited,agricultural distribution,delayed,2020,4,44.0
SHP-2020-00031,1,2020-04-20 09:00:00,,BP-30006,BP-30010,FCL-1019,FCL-1016,BP-30025,office_supply,48,case,ambient,ordinary,scheduled stock transfer,in_transit,2020,4,
SHP-2020-00032,1,2020-04-20 14:00:00,2020-04-22 09:00:00,BP-30037,BP-30061,FCL-1017,FCL-1030,BP-30042,medical_consumables,2,case,2-8c,ordinary,scheduled stock transfer,delivered,2020,4,43.0
SHP-2020-00033,1,2020-04-22 17:00:00,2020-04-26 15:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,monitoring_equipment,30,kit,ambient,restricted,scheduled stock transfer,delivered,2020,4,94.0
SHP-2020-00034,1,2020-04-23 18:00:00,2020-04-26 01:00:00,BP-30031,BP-30009,FCL-1023,FCL-1010,BP-30025,agricultural_product,28,pallet,ambient,expedited,laboratory delivery,delivered,2020,4,55.0
SHP-2020-00035,1,2020-04-28 08:00:00,2020-04-29 11:00:00,BP-30031,BP-30065,FCL-1023,FCL-1014,BP-30025,medical_consumables,68,case,2-8c,restricted,customer distribution,delivered,2020,4,27.0
SHP-2020-00036,1,2020-05-28 08:00:00,2020-05-31 07:00:00,BP-30050,BP-30033,FCL-1028,FCL-1013,BP-30015,medical_consumables,69,case,2-8c,expedited,field programme support,delivered,2020,5,71.0
SHP-2020-00037,1,2020-05-30 15:00:00,,BP-30008,BP-30045,FCL-1007,FCL-1016,BP-30055,laboratory_material,54,pack,ambient,ordinary,facility replenishment,in_transit,2020,5,
SHP-2020-00038,1,2020-06-12 09:00:00,2020-06-14 21:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,5,sealed_lot,2-8c,ordinary,environmental and wildlife reference materials,delivered,2020,6,60.0
SHP-2020-00039,1,2020-06-20 16:00:00,2020-06-24 13:00:00,BP-30054,BP-30046,FCL-1007,FCL-1010,BP-30060,monitoring_equipment,3,kit,ambient,ordinary,scheduled stock transfer,delayed,2020,6,93.0
SHP-2020-00040,1,2020-07-14 12:00:00,2020-07-15 18:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30015,protective_equipment,76,case,ambient,ordinary,facility replenishment,delivered,2020,7,30.0
SHP-2020-00041,1,2020-10-20 05:00:00,2020-10-22 14:00:00,BP-30068,BP-30067,FCL-1020,FCL-1023,BP-30015,biological_sample,12,sealed_lot,2-8c,ordinary,laboratory delivery,delivered,2020,10,57.0
SHP-2020-00042,1,2020-10-20 09:00:00,2020-10-21 14:00:00,BP-30017,BP-30004,FCL-1010,FCL-1029,BP-30042,consulting_service,1,service,ambient,emergency,field programme support,delivered,2020,10,29.0
SHP-2020-00043,1,2020-10-29 07:00:00,2020-10-30 12:00:00,BP-30065,BP-30006,FCL-1014,FCL-1019,BP-30060,biological_sample,7,sealed_lot,2-8c,restricted,facility replenishment,delivered,2020,10,29.0
SHP-2020-00044,1,2020-11-04 16:00:00,2020-11-08 00:00:00,BP-30078,BP-30037,FCL-1011,FCL-1017,BP-30060,grant,1,grant,ambient,ordinary,field programme support,delivered,2020,11,80.0
SHP-2020-00045,1,2020-11-21 08:00:00,2020-11-22 20:00:00,BP-30080,BP-30070,FCL-1020,FCL-1019,BP-30020,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2020,11,36.0
SHP-2020-00046,1,2020-12-16 15:00:00,2020-12-18 06:00:00,BP-30055,BP-30078,FCL-1010,FCL-1011,BP-30055,cold_storage_equipment,16,unit,ambient,emergency,agricultural distribution,delivered,2020,12,39.0
SHP-2021-00001,1,2021-01-12 14:00:00,2021-01-15 10:00:00,BP-30061,BP-30075,FCL-1030,FCL-1027,BP-30078,medical_consumables,4,case,2-8c,expedited,field programme support,delivered,2021,1,68.0
SHP-2021-00002,1,2021-02-12 11:00:00,2021-02-13 23:00:00,BP-30012,BP-30017,FCL-1020,FCL-1010,BP-30015,protective_equipment,64,case,ambient,ordinary,scheduled stock transfer,delivered,2021,2,36.0
SHP-2021-00003,1,2021-02-18 09:00:00,2021-02-21 15:00:00,BP-30031,BP-30017,FCL-1023,FCL-1010,BP-30042,agricultural_equipment,12,unit,ambient,ordinary,laboratory delivery,delivered,2021,2,78.0
SHP-2021-00004,1,2021-02-26 10:00:00,2021-02-28 23:00:00,BP-30030,BP-30066,FCL-1018,FCL-1003,BP-30055,monitoring_equipment,20,kit,ambient,ordinary,field programme support,delivered,2021,2,61.0
SHP-2021-00005,1,2021-03-16 15:00:00,2021-03-18 02:00:00,BP-30057,BP-30080,FCL-1016,FCL-1020,BP-30047,protective_equipment,65,case,ambient,ordinary,agricultural distribution,delivered,2021,3,35.0
SHP-2021-00006,1,2021-03-17 09:00:00,2021-03-18 12:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,8,sealed_lot,2-8c,expedited,temperature-controlled clinical programme delivery,delivered,2021,3,27.0
SHP-2021-00007,1,2021-03-26 09:00:00,2021-03-28 17:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,8,sealed_lot,2-8c,expedited,environmental and wildlife reference materials,delivered,2021,3,56.0
SHP-2021-00008,1,2021-05-01 09:00:00,2021-05-02 03:00:00,BP-30046,BP-30023,FCL-1010,FCL-1002,BP-30015,office_supply,46,case,ambient,ordinary,scheduled stock transfer,delivered,2021,5,18.0
SHP-2021-00009,1,2021-05-01 14:00:00,2021-05-02 02:00:00,BP-30070,BP-30045,FCL-1019,FCL-1016,BP-30031,agricultural_product,17,pallet,ambient,ordinary,customer distribution,delivered,2021,5,12.0
SHP-2021-00010,1,2021-05-03 18:00:00,2021-05-06 06:00:00,BP-30061,BP-30043,FCL-1030,FCL-1010,BP-30031,grant,1,grant,ambient,ordinary,customer distribution,delivered,2021,5,60.0
SHP-2021-00011,1,2021-05-04 10:00:00,2021-05-07 17:00:00,BP-30039,BP-30067,FCL-1029,FCL-1023,BP-30031,agricultural_product,8,pallet,ambient,ordinary,scheduled stock transfer,delivered,2021,5,79.0
SHP-2021-00012,1,2021-05-04 17:00:00,2021-05-07 20:00:00,BP-30077,BP-30078,FCL-1007,FCL-1011,BP-30025,office_supply,61,case,ambient,emergency,scheduled stock transfer,delivered,2021,5,75.0
SHP-2021-00013,1,2021-05-07 18:00:00,2021-05-10 01:00:00,BP-30007,BP-30074,FCL-1014,FCL-1015,BP-30078,medical_equipment,22,unit,ambient,ordinary,agricultural distribution,delivered,2021,5,55.0
SHP-2021-00014,1,2021-05-08 18:00:00,2021-05-09 16:00:00,BP-30056,BP-30018,FCL-1019,FCL-1003,BP-30047,cold_storage_equipment,22,unit,ambient,ordinary,agricultural distribution,delivered,2021,5,22.0
SHP-2021-00015,1,2021-05-09 14:00:00,2021-05-10 13:00:00,BP-30017,BP-30075,FCL-1010,FCL-1027,BP-30047,medical_equipment,6,unit,ambient,ordinary,customer distribution,delivered,2021,5,23.0
SHP-2021-00016,1,2021-05-09 18:00:00,2021-05-12 22:00:00,BP-30050,BP-30056,FCL-1028,FCL-1019,BP-30047,medical_consumables,61,case,2-8c,ordinary,agricultural distribution,delivered,2021,5,76.0
SHP-2021-00017,1,2021-05-11 09:00:00,2021-05-15 06:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30060,consulting_service,1,service,ambient,restricted,facility replenishment,delivered,2021,5,93.0
SHP-2021-00018,1,2021-05-12 12:00:00,2021-05-13 11:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30025,agricultural_equipment,19,unit,ambient,ordinary,agricultural distribution,delivered,2021,5,23.0
SHP-2021-00019,1,2021-05-12 13:00:00,2021-05-13 02:00:00,BP-30057,BP-30044,FCL-1016,FCL-1029,BP-30055,refrigeration_service,1,service,ambient,ordinary,laboratory delivery,delayed,2021,5,13.0
SHP-2021-00020,1,2021-05-13 10:00:00,2021-05-17 08:00:00,BP-30069,BP-30020,FCL-1008,FCL-1001,BP-30042,monitoring_equipment,10,kit,ambient,ordinary,scheduled stock transfer,delivered,2021,5,94.0
SHP-2021-00021,1,2021-05-13 18:00:00,2021-05-17 04:00:00,BP-30030,BP-30079,FCL-1018,FCL-1022,BP-30047,refrigeration_service,1,service,ambient,ordinary,customer distribution,delayed,2021,5,82.0
SHP-2021-00022,1,2021-05-15 05:00:00,2021-05-18 02:00:00,BP-30027,BP-30020,FCL-1021,FCL-1001,BP-30047,office_supply,85,case,ambient,expedited,laboratory delivery,delivered,2021,5,69.0
SHP-2021-00023,1,2021-05-15 06:00:00,2021-05-18 09:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,refrigeration_service,1,service,ambient,emergency,scheduled stock transfer,delivered,2021,5,75.0
SHP-2021-00024,1,2021-05-18 14:00:00,2021-05-22 05:00:00,BP-30063,BP-30044,FCL-1025,FCL-1029,BP-30047,agricultural_product,47,pallet,ambient,expedited,field programme support,delivered,2021,5,87.0
SHP-2021-00025,1,2021-05-19 05:00:00,2021-05-22 07:00:00,BP-30021,BP-30014,FCL-1007,FCL-1029,BP-30047,monitoring_equipment,30,kit,ambient,ordinary,field programme support,delivered,2021,5,74.0
SHP-2021-00026,1,2021-05-19 11:00:00,2021-05-20 01:00:00,BP-30014,BP-30069,FCL-1029,FCL-1008,BP-30078,medical_consumables,37,case,2-8c,expedited,field programme support,delivered,2021,5,14.0
SHP-2021-00027,1,2021-05-20 13:00:00,2021-05-23 11:00:00,BP-30009,BP-30032,FCL-1010,FCL-1019,BP-30025,refrigeration_service,1,service,ambient,ordinary,scheduled stock transfer,returned,2021,5,70.0
SHP-2021-00028,1,2021-05-21 09:00:00,2021-05-23 20:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,2,sealed_lot,2-8c,ordinary,environmental and wildlife reference materials,delivered,2021,5,59.0
SHP-2021-00029,1,2021-05-22 10:00:00,2021-05-22 17:00:00,BP-30045,BP-30044,FCL-1016,FCL-1029,BP-30047,laboratory_material,43,pack,ambient,ordinary,laboratory delivery,delivered,2021,5,7.0
SHP-2021-00030,1,2021-05-22 15:00:00,2021-05-24 22:00:00,BP-30067,BP-30010,FCL-1023,FCL-1016,BP-30020,transport_service,1,service,ambient,ordinary,customer distribution,delivered,2021,5,55.0
SHP-2021-00031,1,2021-05-22 16:00:00,2021-05-24 15:00:00,BP-30011,BP-30040,FCL-1012,FCL-1015,BP-30031,cold_storage_equipment,6,unit,ambient,restricted,agricultural distribution,delivered,2021,5,47.0
SHP-2021-00032,1,2021-05-23 06:00:00,2021-05-24 11:00:00,BP-30003,BP-30011,FCL-1015,FCL-1012,BP-30042,office_supply,84,case,ambient,ordinary,customer distribution,delivered,2021,5,29.0
SHP-2021-00033,1,2021-05-23 13:00:00,2021-05-24 01:00:00,BP-30053,BP-30020,FCL-1030,FCL-1001,BP-30042,agricultural_equipment,6,unit,ambient,expedited,scheduled stock transfer,delayed,2021,5,12.0
SHP-2021-00034,1,2021-05-23 14:00:00,2021-05-24 05:00:00,BP-30017,BP-30006,FCL-1010,FCL-1019,BP-30025,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delivered,2021,5,15.0
SHP-2021-00035,1,2021-05-26 14:00:00,2021-05-30 08:00:00,BP-30029,BP-30014,FCL-1004,FCL-1029,BP-30060,agricultural_product,50,pallet,ambient,ordinary,scheduled stock transfer,delivered,2021,5,90.0
SHP-2021-00036,1,2021-05-27 09:00:00,2021-05-28 09:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,3,sealed_lot,2-8c,restricted,temperature-controlled clinical programme delivery,delivered,2021,5,24.0
SHP-2021-00037,1,2021-07-09 11:00:00,2021-07-12 13:00:00,BP-30021,BP-30033,FCL-1007,FCL-1013,BP-30025,agricultural_product,4,pallet,ambient,restricted,customer distribution,returned,2021,7,74.0
SHP-2021-00038,1,2021-07-25 06:00:00,2021-07-27 12:00:00,BP-30052,BP-30046,FCL-1011,FCL-1010,BP-30015,office_supply,59,case,ambient,expedited,customer distribution,delivered,2021,7,54.0
SHP-2021-00039,1,2021-10-06 09:00:00,2021-10-10 03:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,64,case,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2021,10,90.0
SHP-2021-00040,1,2021-10-20 18:00:00,2021-10-22 17:00:00,BP-30020,BP-30032,FCL-1001,FCL-1019,BP-30078,cold_storage_equipment,20,unit,ambient,ordinary,agricultural distribution,delivered,2021,10,47.0
SHP-2021-00041,1,2021-11-19 10:00:00,2021-11-22 05:00:00,BP-30002,BP-30001,FCL-1030,FCL-1025,BP-30078,agricultural_product,5,pallet,ambient,emergency,scheduled stock transfer,delayed,2021,11,67.0
SHP-2021-00042,1,2021-12-01 07:00:00,2021-12-04 08:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30031,agricultural_product,35,pallet,frozen,ordinary,agricultural distribution,returned,2021,12,73.0
SHP-2021-00043,1,2021-12-18 10:00:00,2021-12-19 11:00:00,BP-30079,BP-30076,FCL-1022,FCL-1020,BP-30042,agricultural_product,37,pallet,ambient,restricted,customer distribution,delivered,2021,12,25.0
SHP-2022-00001,1,2022-01-20 09:00:00,2022-01-23 20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,89,case,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2022,1,83.0
SHP-2022-00002,1,2022-02-01 06:00:00,2022-02-04 22:00:00,BP-30030,BP-30039,FCL-1018,FCL-1029,BP-30060,communication_service,1,service,ambient,expedited,field programme support,delivered,2022,2,88.0
SHP-2022-00003,1,2022-02-01 11:00:00,2022-02-04 12:00:00,BP-30061,BP-30018,FCL-1030,FCL-1003,BP-30025,medical_consumables,1,case,2-8c,restricted,field programme support,delivered,2022,2,73.0
SHP-2022-00004,1,2022-02-01 14:00:00,2022-02-04 14:00:00,BP-30041,BP-30040,FCL-1008,FCL-1015,BP-30015,monitoring_equipment,27,kit,ambient,ordinary,agricultural distribution,delivered,2022,2,72.0
SHP-2022-00005,1,2022-02-06 08:00:00,2022-02-07 20:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30078,medical_equipment,6,unit,ambient,ordinary,agricultural distribution,delivered,2022,2,36.0
SHP-2022-00006,1,2022-02-06 16:00:00,2022-02-09 23:00:00,BP-30060,BP-30010,FCL-1009,FCL-1016,BP-30042,laboratory_material,25,pack,ambient,ordinary,agricultural distribution,delivered,2022,2,79.0
SHP-2022-00007,1,2022-02-07 08:00:00,2022-02-09 05:00:00,BP-30080,BP-30042,FCL-1020,FCL-1015,BP-30047,medical_consumables,42,case,2-8c,emergency,agricultural distribution,delivered,2022,2,45.0
SHP-2022-00008,1,2022-02-07 16:00:00,2022-02-10 15:00:00,BP-30078,BP-30065,FCL-1011,FCL-1014,BP-30025,communication_service,1,service,ambient,ordinary,facility replenishment,delivered,2022,2,71.0
SHP-2022-00009,1,2022-02-08 12:00:00,2022-02-12 00:00:00,BP-30069,BP-30056,FCL-1008,FCL-1019,BP-30078,agricultural_product,34,pallet,ambient,ordinary,customer distribution,delayed,2022,2,84.0
SHP-2022-00010,1,2022-02-09 09:00:00,2022-02-11 00:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,3,sealed_lot,2-8c,ordinary,temperature-controlled clinical programme delivery,delivered,2022,2,39.0
SHP-2022-00011,1,2022-02-09 11:00:00,2022-02-12 10:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,protective_equipment,29,case,ambient,ordinary,agricultural distribution,delivered,2022,2,71.0
